id,closing_date,label,amount,bank_amount,bank_status,bank_matched_at
a997843d-ad3f-46a7-9eae-247294ee81e6,2026-09-07,Fatture,0,,in_attesa,
eecb52a4-e348-43f1-9471-8085e0220a35,2026-09-07,Fatture,0,,in_attesa,
5fbd8749-078f-4394-aef2-4a1dae7f7863,2026-09-07,Fatture,0,,in_attesa,
343edf94-7537-4231-9662-5496a9730b24,2026-09-07,Pay by link,0,,in_attesa,
331f1d92-1a52-4639-aea8-c70fac07cf0f,2026-09-07,Pay by link,0,,in_attesa,
e527316b-0f6b-4355-88e1-196595ad8c2f,2026-09-07,Pay by link,0,,in_attesa,
319fcdee-1ae8-47ff-9404-25e5b26977fe,2026-09-07,Pay by link,0,,in_attesa,
07aca058-15d8-447d-9ae6-c6ba2a916d65,2026-09-07,Pay by link,0,,in_attesa,
ff4fc8c5-3ef7-410f-9e2a-6923d4d6080f,2026-09-07,Pay by link,0,,in_attesa,
a816587f-1c05-456d-89c9-2b3f06d077ef,2026-09-07,Pay by link,0,,in_attesa,
564bdc53-665d-4646-b886-6b78e7e11d78,2026-09-07,POS BCC,0,,in_attesa,
4e7ceaa2-79b8-4907-9328-4e9fa0f8eec1,2026-09-07,POS BCC,923.2,923.2,accreditato,2026-09-09T06:05:00.048743+00:00
3e40b7d4-dc08-4e77-bf62-dd02a377c9cf,2026-09-07,POS BCC,0,,in_attesa,
0b9e7480-e91c-4b4a-9f2b-8dbb099dd8af,2026-09-07,POS BCC,0,,in_attesa,
9a8c2f55-b4a4-4626-beda-fdbfcb4f0d03,2026-09-07,POS BCC,0,,in_attesa,
66660381-77bd-4a11-846c-a1749462868f,2026-09-07,POS BCC,0,,in_attesa,
298ee40b-c9b5-476d-b21b-7573ac5230cf,2026-09-07,POS BCC,0,,in_attesa,
89a32dab-b3f5-4ced-ae47-f23496d947d6,2026-09-07,POS BCC Amex,0,,in_attesa,
c47d612d-15dd-4cde-831a-bf7cf9476d65,2026-09-07,POS BCC Amex,0,,in_attesa,
71ae21d0-e19a-413e-b2c5-0aee79059124,2026-09-07,POS BCC Amex,0,,in_attesa,
9fadca7a-496d-4074-9577-baf769c0ca01,2026-09-07,POS BCC Amex,0,,in_attesa,
fac2cc57-ba33-4092-95f3-b9f411b50fe4,2026-09-07,POS BCC Amex,0,,in_attesa,
bbae9328-1394-45bb-bf37-bd4b6c8c72b6,2026-09-07,POS BCC Amex,0,,in_attesa,
15b1977a-b8a9-4c11-bc53-2a1855c99d41,2026-09-07,POS BCC Amex,0,,in_attesa,
